policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json
dqn,101,0,1,101,0.0,26998,False,True,True,ale.game_truncated,True,time_limit,0,21,26964,13,"{""FIRE"": 21, ""LEFT"": 13, ""NOOP"": 0, ""RIGHT"": 26964}"
dqn,101,0,2,102,0.0,125,True,False,False,,True,terminated,0,0,122,3,"{""FIRE"": 0, ""LEFT"": 3, ""NOOP"": 0, ""RIGHT"": 122}"
dqn,101,0,3,103,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,101,0,4,104,5.0,348,True,False,False,,True,terminated,5,8,229,106,"{""FIRE"": 8, ""LEFT"": 106, ""NOOP"": 5, ""RIGHT"": 229}"
dqn,101,0,5,105,6.0,394,True,False,False,,True,terminated,5,10,264,115,"{""FIRE"": 10, ""LEFT"": 115, ""NOOP"": 5, ""RIGHT"": 264}"
dqn,202,1,1,202,2.0,200,True,False,False,,True,terminated,3,5,173,19,"{""FIRE"": 5, ""LEFT"": 19, ""NOOP"": 3, ""RIGHT"": 173}"
dqn,202,1,2,203,5.0,348,True,False,False,,True,terminated,4,8,236,100,"{""FIRE"": 8, ""LEFT"": 100, ""NOOP"": 4, ""RIGHT"": 236}"
dqn,202,1,3,204,6.0,394,True,False,False,,True,terminated,5,11,260,118,"{""FIRE"": 11, ""LEFT"": 118, ""NOOP"": 5, ""RIGHT"": 260}"
dqn,202,1,4,205,5.0,348,True,False,False,,True,terminated,5,8,254,81,"{""FIRE"": 8, ""LEFT"": 81, ""NOOP"": 5, ""RIGHT"": 254}"
dqn,202,1,5,206,4.0,297,True,False,False,,True,terminated,5,6,232,54,"{""FIRE"": 6, ""LEFT"": 54, ""NOOP"": 5, ""RIGHT"": 232}"
dqn,303,2,1,303,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,303,2,2,304,0.0,125,True,False,False,,True,terminated,0,0,104,21,"{""FIRE"": 0, ""LEFT"": 21, ""NOOP"": 0, ""RIGHT"": 104}"
dqn,303,2,3,305,2.0,200,True,False,False,,True,terminated,5,3,178,14,"{""FIRE"": 3, ""LEFT"": 14, ""NOOP"": 5, ""RIGHT"": 178}"
dqn,303,2,4,306,0.0,125,True,False,False,,True,terminated,0,0,125,0,"{""FIRE"": 0, ""LEFT"": 0, ""NOOP"": 0, ""RIGHT"": 125}"
dqn,303,2,5,307,5.0,348,True,False,False,,True,terminated,6,7,256,79,"{""FIRE"": 7, ""LEFT"": 79, ""NOOP"": 6, ""RIGHT"": 256}"
