policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
dqn,101,0,1,101,2.0,181,True,False,False,,True,terminated,0,50,89,42,"{""FIRE"": 50, ""LEFT"": 42, ""NOOP"": 0, ""RIGHT"": 89}",0,46,93,42,0,50,89,42,"{""FIRE"": 46, ""LEFT"": 42, ""NOOP"": 0, ""RIGHT"": 93}","{""FIRE"": 50, ""LEFT"": 42, ""NOOP"": 0, ""RIGHT"": 89}",6,"{""after_life_loss"": 4, ""initial_serve"": 2}"
dqn,101,0,2,102,2.0,200,True,False,False,,True,terminated,0,58,94,48,"{""FIRE"": 58, ""LEFT"": 48, ""NOOP"": 0, ""RIGHT"": 94}",0,54,98,48,0,58,94,48,"{""FIRE"": 54, ""LEFT"": 48, ""NOOP"": 0, ""RIGHT"": 98}","{""FIRE"": 58, ""LEFT"": 48, ""NOOP"": 0, ""RIGHT"": 94}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,101,0,3,103,3.0,213,True,False,False,,True,terminated,0,73,75,65,"{""FIRE"": 73, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 75}",0,70,78,65,0,73,75,65,"{""FIRE"": 70, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 78}","{""FIRE"": 73, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 75}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,101,0,4,104,5.0,305,True,False,False,,True,terminated,5,83,147,70,"{""FIRE"": 83, ""LEFT"": 70, ""NOOP"": 5, ""RIGHT"": 147}",5,82,148,70,5,83,147,70,"{""FIRE"": 82, ""LEFT"": 70, ""NOOP"": 5, ""RIGHT"": 148}","{""FIRE"": 83, ""LEFT"": 70, ""NOOP"": 5, ""RIGHT"": 147}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,101,0,5,105,5.0,286,True,False,False,,True,terminated,2,76,131,77,"{""FIRE"": 76, ""LEFT"": 77, ""NOOP"": 2, ""RIGHT"": 131}",2,75,132,77,2,76,131,77,"{""FIRE"": 75, ""LEFT"": 77, ""NOOP"": 2, ""RIGHT"": 132}","{""FIRE"": 76, ""LEFT"": 77, ""NOOP"": 2, ""RIGHT"": 131}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,202,1,1,202,6.0,326,True,False,False,,True,terminated,1,50,193,82,"{""FIRE"": 50, ""LEFT"": 82, ""NOOP"": 1, ""RIGHT"": 193}",1,46,197,82,1,50,193,82,"{""FIRE"": 46, ""LEFT"": 82, ""NOOP"": 1, ""RIGHT"": 197}","{""FIRE"": 50, ""LEFT"": 82, ""NOOP"": 1, ""RIGHT"": 193}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,202,1,2,203,8.0,434,True,False,False,,True,terminated,2,156,167,109,"{""FIRE"": 156, ""LEFT"": 109, ""NOOP"": 2, ""RIGHT"": 167}",2,154,169,109,2,156,167,109,"{""FIRE"": 154, ""LEFT"": 109, ""NOOP"": 2, ""RIGHT"": 169}","{""FIRE"": 156, ""LEFT"": 109, ""NOOP"": 2, ""RIGHT"": 167}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,202,1,3,204,4.0,255,True,False,False,,True,terminated,2,74,123,56,"{""FIRE"": 74, ""LEFT"": 56, ""NOOP"": 2, ""RIGHT"": 123}",2,71,126,56,2,74,123,56,"{""FIRE"": 71, ""LEFT"": 56, ""NOOP"": 2, ""RIGHT"": 126}","{""FIRE"": 74, ""LEFT"": 56, ""NOOP"": 2, ""RIGHT"": 123}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,202,1,4,205,9.0,500,True,False,False,,True,terminated,54,126,186,134,"{""FIRE"": 126, ""LEFT"": 134, ""NOOP"": 54, ""RIGHT"": 186}",55,123,188,134,54,126,186,134,"{""FIRE"": 123, ""LEFT"": 134, ""NOOP"": 55, ""RIGHT"": 188}","{""FIRE"": 126, ""LEFT"": 134, ""NOOP"": 54, ""RIGHT"": 186}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,202,1,5,206,4.0,292,True,False,False,,True,terminated,0,56,171,65,"{""FIRE"": 56, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 171}",0,54,173,65,0,56,171,65,"{""FIRE"": 54, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 173}","{""FIRE"": 56, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 171}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,303,2,1,303,2.0,180,True,False,False,,True,terminated,0,49,88,43,"{""FIRE"": 49, ""LEFT"": 43, ""NOOP"": 0, ""RIGHT"": 88}",0,45,92,43,0,49,88,43,"{""FIRE"": 45, ""LEFT"": 43, ""NOOP"": 0, ""RIGHT"": 92}","{""FIRE"": 49, ""LEFT"": 43, ""NOOP"": 0, ""RIGHT"": 88}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,303,2,2,304,11.0,414,True,False,False,,True,terminated,2,81,194,137,"{""FIRE"": 81, ""LEFT"": 137, ""NOOP"": 2, ""RIGHT"": 194}",2,80,195,137,2,81,194,137,"{""FIRE"": 80, ""LEFT"": 137, ""NOOP"": 2, ""RIGHT"": 195}","{""FIRE"": 81, ""LEFT"": 137, ""NOOP"": 2, ""RIGHT"": 194}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,303,2,3,305,9.0,427,True,False,False,,True,terminated,0,78,226,123,"{""FIRE"": 78, ""LEFT"": 123, ""NOOP"": 0, ""RIGHT"": 226}",0,77,227,123,0,78,226,123,"{""FIRE"": 77, ""LEFT"": 123, ""NOOP"": 0, ""RIGHT"": 227}","{""FIRE"": 78, ""LEFT"": 123, ""NOOP"": 0, ""RIGHT"": 226}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,303,2,4,306,7.0,367,True,False,False,,True,terminated,3,97,138,129,"{""FIRE"": 97, ""LEFT"": 129, ""NOOP"": 3, ""RIGHT"": 138}",3,96,138,130,3,97,138,129,"{""FIRE"": 96, ""LEFT"": 130, ""NOOP"": 3, ""RIGHT"": 138}","{""FIRE"": 97, ""LEFT"": 129, ""NOOP"": 3, ""RIGHT"": 138}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
dqn,303,2,5,307,4.0,300,True,False,False,,True,terminated,0,52,183,65,"{""FIRE"": 52, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 183}",0,48,187,65,0,52,183,65,"{""FIRE"": 48, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 187}","{""FIRE"": 52, ""LEFT"": 65, ""NOOP"": 0, ""RIGHT"": 183}",5,"{""after_life_loss"": 4, ""initial_serve"": 1}"
