policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json
random,101,0,1,101,1.0,162,True,False,True,terminated,43,46,30,43,"{""FIRE"": 46, ""LEFT"": 43, ""NOOP"": 43, ""RIGHT"": 30}"
random,101,0,2,102,0.0,140,True,False,True,terminated,29,35,35,41,"{""FIRE"": 35, ""LEFT"": 41, ""NOOP"": 29, ""RIGHT"": 35}"
random,101,0,3,103,2.0,216,True,False,True,terminated,62,50,57,47,"{""FIRE"": 50, ""LEFT"": 47, ""NOOP"": 62, ""RIGHT"": 57}"
random,101,0,4,104,1.0,180,True,False,True,terminated,32,59,47,42,"{""FIRE"": 59, ""LEFT"": 42, ""NOOP"": 32, ""RIGHT"": 47}"
random,101,0,5,105,5.0,322,True,False,True,terminated,68,84,95,75,"{""FIRE"": 84, ""LEFT"": 75, ""NOOP"": 68, ""RIGHT"": 95}"
random,202,1,1,202,1.0,179,True,False,True,terminated,52,52,45,30,"{""FIRE"": 52, ""LEFT"": 30, ""NOOP"": 52, ""RIGHT"": 45}"
random,202,1,2,203,1.0,154,True,False,True,terminated,37,43,34,40,"{""FIRE"": 43, ""LEFT"": 40, ""NOOP"": 37, ""RIGHT"": 34}"
random,202,1,3,204,3.0,260,True,False,True,terminated,64,63,65,68,"{""FIRE"": 63, ""LEFT"": 68, ""NOOP"": 64, ""RIGHT"": 65}"
random,202,1,4,205,1.0,182,True,False,True,terminated,40,52,42,48,"{""FIRE"": 52, ""LEFT"": 48, ""NOOP"": 40, ""RIGHT"": 42}"
random,202,1,5,206,1.0,180,True,False,True,terminated,36,43,48,53,"{""FIRE"": 43, ""LEFT"": 53, ""NOOP"": 36, ""RIGHT"": 48}"
random,303,2,1,303,0.0,127,True,False,True,terminated,32,32,27,36,"{""FIRE"": 32, ""LEFT"": 36, ""NOOP"": 32, ""RIGHT"": 27}"
random,303,2,2,304,0.0,142,True,False,True,terminated,39,38,37,28,"{""FIRE"": 38, ""LEFT"": 28, ""NOOP"": 39, ""RIGHT"": 37}"
random,303,2,3,305,2.0,199,True,False,True,terminated,48,58,54,39,"{""FIRE"": 58, ""LEFT"": 39, ""NOOP"": 48, ""RIGHT"": 54}"
random,303,2,4,306,0.0,141,True,False,True,terminated,36,40,33,32,"{""FIRE"": 40, ""LEFT"": 32, ""NOOP"": 36, ""RIGHT"": 33}"
random,303,2,5,307,2.0,202,True,False,True,terminated,47,43,60,52,"{""FIRE"": 43, ""LEFT"": 52, ""NOOP"": 47, ""RIGHT"": 60}"
