policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json
dqn,101,0,1,101,0.0,129,True,False,False,,True,terminated,4,52,73,0,"{""FIRE"": 52, ""LEFT"": 0, ""NOOP"": 4, ""RIGHT"": 73}"
dqn,101,0,2,102,0.0,123,True,False,False,,True,terminated,4,80,39,0,"{""FIRE"": 80, ""LEFT"": 0, ""NOOP"": 4, ""RIGHT"": 39}"
dqn,101,0,3,103,0.0,125,True,False,False,,True,terminated,4,51,70,0,"{""FIRE"": 51, ""LEFT"": 0, ""NOOP"": 4, ""RIGHT"": 70}"
dqn,101,0,4,104,5.0,348,True,False,False,,True,terminated,28,207,103,10,"{""FIRE"": 207, ""LEFT"": 10, ""NOOP"": 28, ""RIGHT"": 103}"
dqn,101,0,5,105,0.0,122,True,False,False,,True,terminated,2,97,23,0,"{""FIRE"": 97, ""LEFT"": 0, ""NOOP"": 2, ""RIGHT"": 23}"
dqn,202,1,1,202,0.0,123,True,False,False,,True,terminated,2,82,39,0,"{""FIRE"": 82, ""LEFT"": 0, ""NOOP"": 2, ""RIGHT"": 39}"
dqn,202,1,2,203,7.0,415,True,False,False,,True,terminated,44,279,87,5,"{""FIRE"": 279, ""LEFT"": 5, ""NOOP"": 44, ""RIGHT"": 87}"
dqn,202,1,3,204,0.0,122,True,False,False,,True,terminated,7,94,21,0,"{""FIRE"": 94, ""LEFT"": 0, ""NOOP"": 7, ""RIGHT"": 21}"
dqn,202,1,4,205,2.0,197,True,False,False,,True,terminated,8,152,37,0,"{""FIRE"": 152, ""LEFT"": 0, ""NOOP"": 8, ""RIGHT"": 37}"
dqn,202,1,5,206,2.0,198,True,False,False,,True,terminated,9,135,54,0,"{""FIRE"": 135, ""LEFT"": 0, ""NOOP"": 9, ""RIGHT"": 54}"
dqn,303,2,1,303,0.0,123,True,False,False,,True,terminated,4,80,39,0,"{""FIRE"": 80, ""LEFT"": 0, ""NOOP"": 4, ""RIGHT"": 39}"
dqn,303,2,2,304,0.0,124,True,False,False,,True,terminated,2,68,54,0,"{""FIRE"": 68, ""LEFT"": 0, ""NOOP"": 2, ""RIGHT"": 54}"
dqn,303,2,3,305,1.0,154,True,False,False,,True,terminated,89,54,6,5,"{""FIRE"": 54, ""LEFT"": 5, ""NOOP"": 89, ""RIGHT"": 6}"
dqn,303,2,4,306,0.0,123,True,False,False,,True,terminated,22,73,25,3,"{""FIRE"": 73, ""LEFT"": 3, ""NOOP"": 22, ""RIGHT"": 25}"
dqn,303,2,5,307,6.0,372,True,False,False,,True,terminated,38,251,78,5,"{""FIRE"": 251, ""LEFT"": 5, ""NOOP"": 38, ""RIGHT"": 78}"
