policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json
dqn,101,0,1,101,1.0,26998,False,True,True,truncated,38,42,25978,940,"{""FIRE"": 42, ""LEFT"": 940, ""NOOP"": 38, ""RIGHT"": 25978}"
dqn,101,0,2,102,7.0,405,True,False,True,terminated,32,47,213,113,"{""FIRE"": 47, ""LEFT"": 113, ""NOOP"": 32, ""RIGHT"": 213}"
dqn,101,0,3,103,1.0,26995,False,True,True,truncated,41,23,26115,816,"{""FIRE"": 23, ""LEFT"": 816, ""NOOP"": 41, ""RIGHT"": 26115}"
dqn,101,0,4,104,10.0,516,True,False,True,terminated,38,29,307,142,"{""FIRE"": 29, ""LEFT"": 142, ""NOOP"": 38, ""RIGHT"": 307}"
dqn,101,0,5,105,5.0,27000,False,True,True,truncated,65,332,25991,612,"{""FIRE"": 332, ""LEFT"": 612, ""NOOP"": 65, ""RIGHT"": 25991}"
dqn,202,1,1,202,1.0,26999,False,True,True,truncated,38,41,25980,940,"{""FIRE"": 41, ""LEFT"": 940, ""NOOP"": 38, ""RIGHT"": 25980}"
dqn,202,1,2,203,5.0,26997,False,True,True,truncated,62,273,26048,614,"{""FIRE"": 273, ""LEFT"": 614, ""NOOP"": 62, ""RIGHT"": 26048}"
dqn,202,1,3,204,5.0,26993,False,True,True,truncated,69,331,25978,615,"{""FIRE"": 331, ""LEFT"": 615, ""NOOP"": 69, ""RIGHT"": 25978}"
dqn,202,1,4,205,4.0,26999,False,True,True,truncated,16271,332,9539,857,"{""FIRE"": 332, ""LEFT"": 857, ""NOOP"": 16271, ""RIGHT"": 9539}"
dqn,202,1,5,206,3.0,26995,False,True,True,truncated,286,46,25731,932,"{""FIRE"": 46, ""LEFT"": 932, ""NOOP"": 286, ""RIGHT"": 25731}"
dqn,303,2,1,303,1.0,26996,False,True,True,truncated,38,31,26005,922,"{""FIRE"": 31, ""LEFT"": 922, ""NOOP"": 38, ""RIGHT"": 26005}"
dqn,303,2,2,304,2.0,26997,False,True,True,truncated,41,41,26090,825,"{""FIRE"": 41, ""LEFT"": 825, ""NOOP"": 41, ""RIGHT"": 26090}"
dqn,303,2,3,305,6.0,319,True,False,True,terminated,103,49,79,88,"{""FIRE"": 49, ""LEFT"": 88, ""NOOP"": 103, ""RIGHT"": 79}"
dqn,303,2,4,306,6.0,335,True,False,True,terminated,52,33,130,120,"{""FIRE"": 33, ""LEFT"": 120, ""NOOP"": 52, ""RIGHT"": 130}"
dqn,303,2,5,307,11.0,426,True,False,True,terminated,45,44,249,88,"{""FIRE"": 44, ""LEFT"": 88, ""NOOP"": 45, ""RIGHT"": 249}"
