policy_type,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
random,101,0,1,101,1.0,171,True,False,False,,True,terminated,40,56,32,43,"{""FIRE"": 56, ""LEFT"": 43, ""NOOP"": 40, ""RIGHT"": 32}",44,47,35,45,40,56,32,43,"{""FIRE"": 47, ""LEFT"": 45, ""NOOP"": 44, ""RIGHT"": 35}","{""FIRE"": 56, ""LEFT"": 43, ""NOOP"": 40, ""RIGHT"": 32}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
random,101,0,2,102,1.0,173,True,False,False,,True,terminated,37,47,41,48,"{""FIRE"": 47, ""LEFT"": 48, ""NOOP"": 37, ""RIGHT"": 41}",38,40,44,51,37,47,41,48,"{""FIRE"": 40, ""LEFT"": 51, ""NOOP"": 38, ""RIGHT"": 44}","{""FIRE"": 47, ""LEFT"": 48, ""NOOP"": 37, ""RIGHT"": 41}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,101,0,3,103,2.0,219,True,False,False,,True,terminated,60,58,55,46,"{""FIRE"": 58, ""LEFT"": 46, ""NOOP"": 60, ""RIGHT"": 55}",62,51,58,48,60,58,55,46,"{""FIRE"": 51, ""LEFT"": 48, ""NOOP"": 62, ""RIGHT"": 58}","{""FIRE"": 58, ""LEFT"": 46, ""NOOP"": 60, ""RIGHT"": 55}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,101,0,4,104,3.0,267,True,False,False,,True,terminated,48,97,63,59,"{""FIRE"": 97, ""LEFT"": 59, ""NOOP"": 48, ""RIGHT"": 63}",48,93,65,61,48,97,63,59,"{""FIRE"": 93, ""LEFT"": 61, ""NOOP"": 48, ""RIGHT"": 65}","{""FIRE"": 97, ""LEFT"": 59, ""NOOP"": 48, ""RIGHT"": 63}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,101,0,5,105,5.0,322,True,False,False,,True,terminated,64,92,91,75,"{""FIRE"": 92, ""LEFT"": 75, ""NOOP"": 64, ""RIGHT"": 91}",68,84,95,75,64,92,91,75,"{""FIRE"": 84, ""LEFT"": 75, ""NOOP"": 68, ""RIGHT"": 95}","{""FIRE"": 92, ""LEFT"": 75, ""NOOP"": 64, ""RIGHT"": 91}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,202,1,1,202,0.0,125,True,False,False,,True,terminated,36,43,24,22,"{""FIRE"": 43, ""LEFT"": 22, ""NOOP"": 36, ""RIGHT"": 24}",38,34,29,24,36,43,24,22,"{""FIRE"": 34, ""LEFT"": 24, ""NOOP"": 38, ""RIGHT"": 29}","{""FIRE"": 43, ""LEFT"": 22, ""NOOP"": 36, ""RIGHT"": 24}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,202,1,2,203,1.0,154,True,False,False,,True,terminated,37,49,31,37,"{""FIRE"": 49, ""LEFT"": 37, ""NOOP"": 37, ""RIGHT"": 31}",37,43,34,40,37,49,31,37,"{""FIRE"": 43, ""LEFT"": 40, ""NOOP"": 37, ""RIGHT"": 34}","{""FIRE"": 49, ""LEFT"": 37, ""NOOP"": 37, ""RIGHT"": 31}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,202,1,3,204,1.0,170,True,False,False,,True,terminated,34,55,42,39,"{""FIRE"": 55, ""LEFT"": 39, ""NOOP"": 34, ""RIGHT"": 42}",36,46,48,40,34,55,42,39,"{""FIRE"": 46, ""LEFT"": 40, ""NOOP"": 36, ""RIGHT"": 48}","{""FIRE"": 55, ""LEFT"": 39, ""NOOP"": 34, ""RIGHT"": 42}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,202,1,4,205,2.0,200,True,False,False,,True,terminated,45,62,49,44,"{""FIRE"": 62, ""LEFT"": 44, ""NOOP"": 45, ""RIGHT"": 49}",45,55,51,49,45,62,49,44,"{""FIRE"": 55, ""LEFT"": 49, ""NOOP"": 45, ""RIGHT"": 51}","{""FIRE"": 62, ""LEFT"": 44, ""NOOP"": 45, ""RIGHT"": 49}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,202,1,5,206,1.0,169,True,False,False,,True,terminated,34,50,41,44,"{""FIRE"": 50, ""LEFT"": 44, ""NOOP"": 34, ""RIGHT"": 41}",35,42,44,48,34,50,41,44,"{""FIRE"": 42, ""LEFT"": 48, ""NOOP"": 35, ""RIGHT"": 44}","{""FIRE"": 50, ""LEFT"": 44, ""NOOP"": 34, ""RIGHT"": 41}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,303,2,1,303,1.0,152,True,False,False,,True,terminated,37,45,29,41,"{""FIRE"": 45, ""LEFT"": 41, ""NOOP"": 37, ""RIGHT"": 29}",38,39,32,43,37,45,29,41,"{""FIRE"": 39, ""LEFT"": 43, ""NOOP"": 38, ""RIGHT"": 32}","{""FIRE"": 45, ""LEFT"": 41, ""NOOP"": 37, ""RIGHT"": 29}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,303,2,2,304,2.0,221,True,False,False,,True,terminated,64,64,47,46,"{""FIRE"": 64, ""LEFT"": 46, ""NOOP"": 64, ""RIGHT"": 47}",65,55,52,49,64,64,47,46,"{""FIRE"": 55, ""LEFT"": 49, ""NOOP"": 65, ""RIGHT"": 52}","{""FIRE"": 64, ""LEFT"": 46, ""NOOP"": 64, ""RIGHT"": 47}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
random,303,2,3,305,2.0,199,True,False,False,,True,terminated,47,63,53,36,"{""FIRE"": 63, ""LEFT"": 36, ""NOOP"": 47, ""RIGHT"": 53}",48,58,54,39,47,63,53,36,"{""FIRE"": 58, ""LEFT"": 39, ""NOOP"": 48, ""RIGHT"": 54}","{""FIRE"": 63, ""LEFT"": 36, ""NOOP"": 47, ""RIGHT"": 53}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
